Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Annotation Release Date	Assembly Stats Total Number of Chromosomes	Assembly Stats Number of Contigs	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Assembly Stats GC Percent	Annotation BUSCO Complete	Annotation BUSCO Single Copy	Annotation BUSCO Duplicated	Annotation BUSCO Fragmented	Annotation BUSCO Missing	Annotation BUSCO Lineage	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	CheckM marker set	CheckM completeness	CheckM contamination
ASM19687v2	GCA_000196875.2	GCF_000196875.2	Halomonas elongata DSM 2581	768066	OK		type strain: DSM 2581					Annotation submitted by Max-Planck-Institute of Biochemistry	2017-01-31	1	1	Complete Genome	2017-01-31		1	63.5								Max-Planck-Institute of Biochemistry	PRJEA49333	SAMEA2272784	3726	3625	19	Halomonas	99.62	0.37
ASM19687v2	GCF_000196875.2	GCA_000196875.2	Halomonas elongata DSM 2581	768066	OK		type strain: DSM 2581					GCF_000196875.2-RS_2025_11_24	2025-11-24	1	1	Complete Genome	2017-01-31		1	63.5								Max-Planck-Institute of Biochemistry	PRJEA49333	SAMEA2272784	3808	3717	8	Halomonas	99.62	0.37
ASM3040666v1	GCA_030406665.1	GCF_030406665.1	Halomonas halophila	29573	OK		CCM 3662					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-06-29	1	1	Complete Genome	2023-07-05		1	68							Illumina NovaSeq; PacBio RSII	Brno University of Technology	PRJNA988394	SAMN36017675	3360	3256	12	Halomonas	99.88	0.77
ASM3040666v1	GCF_030406665.1	GCA_030406665.1	Halomonas halophila	29573	OK		CCM 3662					GCF_030406665.1-RS_2025_12_09	2025-12-09	1	1	Complete Genome	2023-07-05		1	68							Illumina NovaSeq; PacBio RSII	Brno University of Technology	PRJNA988394	SAMN36017675	3364	3265	7	Halomonas	99.88	0.77
ASM143172v1	GCA_001431725.1	GCF_001431725.1	Halomonas huangheensis	1178482	OK		BJGMM-B45					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2015-11-02	1	1	Complete Genome	2015-11-04		1	58.5							Illumina; PacBio	Chinese Academy of Agricultural Sciences	PRJNA299864	SAMN04216911	4148	3993	79	Halomonas	99.58	1.86
ASM143172v1	GCF_001431725.1	GCA_001431725.1	Halomonas huangheensis	1178482	OK		BJGMM-B45					GCF_001431725.1-RS_2026_03_03	2026-03-03	1	1	Complete Genome	2015-11-04		1	58.5							Illumina; PacBio	Chinese Academy of Agricultural Sciences	PRJNA299864	SAMN04216911	4164	4067	18	Halomonas	99.58	1.86
ASM2591731v1	GCA_025917315.1	GCF_025917315.1	Halomonas qaidamensis	2866211	Inconclusive		XH36					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-08-09	2	2	Complete Genome	2022-10-31		2	52							PacBio RSII; Illumina HiSeq	Qinghai University	PRJNA752012	SAMN20568220	3462	3353	26	Halomonas	99.47	0.43
ASM2591731v1	GCF_025917315.1	GCA_025917315.1	Halomonas qaidamensis	2866211	Inconclusive		XH36					GCF_025917315.1-RS_2025_11_27	2025-11-27	2	2	Complete Genome	2022-10-31		2	52							PacBio RSII; Illumina HiSeq	Qinghai University	PRJNA752012	SAMN20568220	3474	3376	15	Halomonas	99.47	0.43
ASM832998v2	GCA_008329985.2	GCF_008329985.2	Halomonas binhaiensis	2562282	OK		Y2R2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-02-04	1	1	Complete Genome	2021-02-04		1	57							Oxford Nanopore	Tianjin Agricultural University	PRJNA529556	SAMN11269531	4278	4154	41	Halomonas	96.93	1.06
ASM832998v2	GCF_008329985.2	GCA_008329985.2	Halomonas binhaiensis	2562282	OK		Y2R2					GCF_008329985.2-RS_2025_03_28	2025-03-28	1	1	Complete Genome	2021-02-04		1	57							Oxford Nanopore	Tianjin Agricultural University	PRJNA529556	SAMN11269531	4285	4172	30	Halomonas	96.93	1.06
